timestamp,login_attempts,failures,session_time,ts
0.0,1,1,27.245663614219595,2025-11-21 08:39:11.881264
0.1,3,1,30.68184832685775,2025-11-21 08:39:11.981264
0.2,2,0,36.054249964092755,2025-11-21 08:39:12.081264
0.30000000000000004,2,1,25.919192890203917,2025-11-21 08:39:12.181264
0.4,4,1,25.194428303544306,2025-11-21 08:39:12.281264
0.5,1,1,39.262781605234835,2025-11-21 08:39:12.381264
0.6000000000000001,3,1,37.21240197891365,2025-11-21 08:39:12.481264
0.7000000000000001,4,0,29.75602000634381,2025-11-21 08:39:12.581264
0.8,4,0,20.221129543123862,2025-11-21 08:39:12.681264
0.9,2,0,27.98118436974265,2025-11-21 08:39:12.781264
1.0,1,0,30.89558232269553,2025-11-21 08:39:12.881264
1.1,4,1,22.15354913062238,2025-11-21 08:39:12.981264
1.2000000000000002,3,0,36.08051525752623,2025-11-21 08:39:13.081264
1.3,3,0,26.669854011252752,2025-11-21 08:39:13.181264
1.4000000000000001,1,1,31.775094603377546,2025-11-21 08:39:13.281264
1.5,2,1,30.818748292646323,2025-11-21 08:39:13.381264
1.6,0,1,24.941339693315392,2025-11-21 08:39:13.481264
1.7000000000000002,2,0,39.90948529493589,2025-11-21 08:39:13.581264
1.8,2,1,34.691248844603635,2025-11-21 08:39:13.681264
1.9000000000000001,4,1,26.14565456261302,2025-11-21 08:39:13.781264
2.0,3,0,24.797026729229174,2025-11-21 08:39:13.881264
2.1,4,0,27.179567856997117,2025-11-21 08:39:13.981264
2.2,1,1,34.210887204600496,2025-11-21 08:39:14.081264
2.3000000000000003,2,1,34.55601734904129,2025-11-21 08:39:14.181264
2.4000000000000004,1,1,27.417040727973827,2025-11-21 08:39:14.281264
2.5,3,1,23.532196014895217,2025-11-21 08:39:14.381264
2.6,1,1,37.23441082208813,2025-11-21 08:39:14.481264
2.7,0,1,28.14013621962077,2025-11-21 08:39:14.581264
2.8000000000000003,2,0,25.56129341002501,2025-11-21 08:39:14.681264
2.9000000000000004,2,0,32.056277977386124,2025-11-21 08:39:14.781264
3.0,3,0,27.42991786440537,2025-11-21 08:39:14.881264
3.1,1,1,34.62654645952719,2025-11-21 08:39:14.981264
3.2,0,1,31.996391221031487,2025-11-21 08:39:15.081264
3.3000000000000003,2,1,27.627281762225806,2025-11-21 08:39:15.181264
3.4000000000000004,0,0,20.494143480867056,2025-11-21 08:39:15.281264
3.5,0,1,28.9683066219795,2025-11-21 08:39:15.381264
3.6,1,0,36.85093421722503,2025-11-21 08:39:15.481264
3.7,0,0,20.493987861468835,2025-11-21 08:39:15.581264
3.8000000000000003,1,1,30.21044972075834,2025-11-21 08:39:15.681264
3.9000000000000004,1,1,39.135501359216,2025-11-21 08:39:15.781264
4.0,1,0,36.47682075546299,2025-11-21 08:39:15.881264
4.1000000000000005,3,1,29.40194263758381,2025-11-21 08:39:15.981264
4.2,2,0,36.94061545025175,2025-11-21 08:39:16.081264
4.3,0,0,30.317727369717044,2025-11-21 08:39:16.181264
4.4,2,1,36.08132035522184,2025-11-21 08:39:16.281264
4.5,3,0,20.97571055636233,2025-11-21 08:39:16.381264
