timestamp,msg_rate,alarms,cpu_load,ts
0.0,102.59289443227428,1,21.564900374815362,2025-11-21 08:39:11.881264
0.1,99.54600478986188,0,26.406945571900494,2025-11-21 08:39:11.981264
0.2,100.2433476972763,1,21.931143442005638,2025-11-21 08:39:12.081264
0.30000000000000004,98.81465742385517,1,17.430912756168357,2025-11-21 08:39:12.181264
0.4,98.9164064047002,0,22.37998721291556,2025-11-21 08:39:12.281264
0.5,100.79277112469704,1,25.64977941865816,2025-11-21 08:39:12.381264
0.6000000000000001,99.69859111000375,0,26.140564321877648,2025-11-21 08:39:12.481264
0.7000000000000001,99.71865939800878,0,17.030241611183804,2025-11-21 08:39:12.581264
0.8,100.67908413003666,1,23.27383164478392,2025-11-21 08:39:12.681264
0.9,100.0980027368273,0,13.183284146251335,2025-11-21 08:39:12.781264
1.0,101.57450278682487,1,27.32813150631793,2025-11-21 08:39:12.881264
1.1,99.95139761926718,0,24.81801502119275,2025-11-21 08:39:12.981264
1.2000000000000002,101.36685914930572,1,16.604518651180776,2025-11-21 08:39:13.081264
1.3,102.34707076943901,1,25.29971574135081,2025-11-21 08:39:13.181264
1.4000000000000001,100.29542352072863,0,18.561382787943465,2025-11-21 08:39:13.281264
1.5,99.7436235682749,0,20.83650956112151,2025-11-21 08:39:13.381264
1.6,103.22054486307863,1,17.814088855642822,2025-11-21 08:39:13.481264
1.7000000000000002,100.90970431244901,1,18.755588403853967,2025-11-21 08:39:13.581264
1.8,101.17646033522945,1,19.82446647195939,2025-11-21 08:39:13.681264
1.9000000000000001,102.34187703832889,0,13.430331169063855,2025-11-21 08:39:13.781264
2.0,101.83595088115977,1,26.871431072053994,2025-11-21 08:39:13.881264
2.1,101.43219606094286,0,18.252739304199583,2025-11-21 08:39:13.981264
2.2,100.36677194191465,1,16.035838282547306,2025-11-21 08:39:14.081264
2.3000000000000003,98.7673393805005,1,22.846731324489145,2025-11-21 08:39:14.181264
2.4000000000000004,100.57528163170703,0,25.57580554996249,2025-11-21 08:39:14.281264
2.5,101.11363506562934,1,20.149356683780656,2025-11-21 08:39:14.381264
2.6,102.30622086286918,0,17.61446414781529,2025-11-21 08:39:14.481264
2.7,101.76652821010103,1,22.68377108058989,2025-11-21 08:39:14.581264
2.8000000000000003,100.98750483139005,0,23.64328384963064,2025-11-21 08:39:14.681264
2.9000000000000004,99.77631795369913,1,19.880297904730003,2025-11-21 08:39:14.781264
3.0,102.33497483442237,1,24.286595754510365,2025-11-21 08:39:14.881264
3.1,101.09767165026419,1,21.371819078120122,2025-11-21 08:39:14.981264
3.2,102.16243110080426,1,22.079948889394313,2025-11-21 08:39:15.081264
3.3000000000000003,101.65491494493436,0,19.247382911273434,2025-11-21 08:39:15.181264
3.4000000000000004,102.3622037347912,0,22.820661982644978,2025-11-21 08:39:15.281264
3.5,100.09574179657879,0,19.36972005983166,2025-11-21 08:39:15.381264
3.6,101.5457642596098,0,16.89706979322614,2025-11-21 08:39:15.481264
3.7,101.6404437106951,0,13.115086598590818,2025-11-21 08:39:15.581264
3.8000000000000003,101.64522411796736,1,18.026547935962828,2025-11-21 08:39:15.681264
3.9000000000000004,102.41010409077323,1,14.622789183725372,2025-11-21 08:39:15.781264
4.0,102.14833682853286,1,25.2675455162085,2025-11-21 08:39:15.881264
4.1000000000000005,99.31818423162196,1,5.779479218320393,2025-11-21 08:39:15.981264
4.2,101.75707984273204,1,27.95457945269641,2025-11-21 08:39:16.081264
4.3,102.37458108802065,1,16.226530578937822,2025-11-21 08:39:16.181264
4.4,101.32438527531137,1,22.194400013861138,2025-11-21 08:39:16.281264
4.5,100.88174845240529,1,20.070703799904972,2025-11-21 08:39:16.381264
4.6000000000000005,102.7540723559857,0,18.25740672841378,2025-11-21 08:39:16.481264
4.7,101.78298786398392,1,21.272797170126296,2025-11-21 08:39:16.581264
4.800000000000001,101.98400938402591,1,28.61853311315088,2025-11-21 08:39:16.681264
4.9,101.38914972021884,1,25.26884481191806,2025-11-21 08:39:16.781264
5.0,102.79348144506471,0,18.549682770134247,2025-11-21 08:39:16.881264
5.1000000000000005,102.69472108183176,0,27.063586197306222,2025-11-21 08:39:16.981264
5.2,101.44047958755928,0,17.06105219621531,2025-11-21 08:39:17.081264
5.300000000000001,103.27784613281794,0,26.381356404113575,2025-11-21 08:39:17.181264
